token,rating,standarddeviation,rawrating
pagkaguba,-1.8,2.13542,"[-1, -1, -3, -3, -4, -3, -4, 2, 2, -3]"
mga kadaot,-1.9,1.92094,"[-3, -3, -2, -2, 1, -1, 2, -4, -4, -3]"
makadaot,-3.2,1.16619,"[-4, -3, 0, -4, -4, -3, -3, -4, -3, -4]"
tigguba,-2.8,0.74833,"[-3, -3, -2, -2, -3, -2, -3, -4, -2, -4]"
tiglaglag,-2.9,1.22066,"[-3, -2, -3, -4, -4, -4, 0, -3, -2, -4]"
yawa,-3.4,0.8,"[-4, -3, -4, -4, -4, -4, -2, -3, -2, -4]"
yawa,-1.6,1.0198,"[-1, -2, 0, -4, -1, -2, -2, -2, -1, -1]"
devilfish,-0.8,1.07703,"[-2, -3, -1, 0, 0, 0, 0, -2, 0, 0]"
devilfishes,-0.6,1.0198,"[-3, 0, -2, 0, 0, 0, 0, -1, 0, 0]"
yawa,-2.2,0.87178,"[-1, -3, -1, -2, -3, -2, -2, -4, -2, -2]"
yawan-on,-2.1,1.04403,"[-1, -2, -4, -1, -1, -2, -2, -4, -2, -2]"
yawan-on,-1.6,0.8,"[-2, -2, -3, -1, -2, -2, 0, -2, -1, -1]"
pagkayawa,-2.3,0.9,"[-4, -1, -4, -2, -2, -2, -2, -2, -2, -2]"
devilkin,-2.4,0.91652,"[-3, -1, -2, -3, -2, -4, -2, -3, -3, -1]"
devilled,-2.3,1.1,"[-3, -1, -2, -3, 0, -4, -2, -3, -2, -3]"
yawa,-1.8,1.249,"[-3, -1, -1, -2, -2, -3, -4, -2, 0, 0]"
yawa,-1.9,0.9434,"[-2, -1, -2, -1, -3, -2, -2, -1, -1, -4]"
mga yawa,-1.1,0.7,"[-2, -1, -2, -2, -1, 0, 0, -1, -1, -1]"
mga demonyo,-1.6,1.35647,"[-1, -1, -2, -4, -3, 0, -2, 0, 0, -3]"
yawa,-2.8,1.249,"[-4, -3, 0, -2, -2, -2, -3, -4, -4, -4]"
yawa,-2.7,0.9,"[-3, -1, -3, -2, -2, -3, -4, -3, -2, -4]"
mga demonyo,-1.5,1.11803,"[-1, -2, 1, -2, 0, -2, -2, -3, -2, -2]"
yawa,-2.8,1.32665,"[-4, -4, -3, -3, -3, -3, 1, -3, -3, -3]"
devilwood,-0.8,1.07703,"[0, -1, -2, 0, 0, 0, 0, -3, -2, 0]"
devilwoods,-1,0.7746,"[-2, 0, -2, -1, -1, 0, -1, -2, 0, -1]"
deboto,1.4,1.28062,"[3, 0, 2, -1, 0, 3, 2, 2, 1, 2]"
deboto,1.7,1.34536,"[2, -1, 3, 2, 1, 0, 1, 3, 3, 3]"
deboto,1.6,1.35647,"[1, 1, 2, 2, 3, 2, 2, -2, 2, 3]"
debotado,2,1,"[0, 3, 2, 1, 3, 2, 2, 3, 1, 3]"
deboto,1.6,1.11355,"[1, 3, 0, 2, 1, 2, 1, 1, 4, 1]"
deboto,0.5,1.0247,"[0, 0, 3, 0, 0, 0, 2, 0, 0, 0]"
debosyon,1.5,1.36015,"[2, -1, 3, 2, -1, 1, 2, 3, 2, 2]"
mga deboto,1.1,1.04403,"[0, 1, 0, 0, 0, 2, 2, 2, 3, 1]"
naghalad,1.6,0.91652,"[2, 3, 0, 2, 2, 3, 1, 1, 1, 1]"
pagdeboto,2.1,0.7,"[2, 2, 3, 1, 2, 3, 2, 3, 1, 2]"
debosyon,2,1,"[2, 0, 1, 2, 4, 3, 2, 2, 2, 2]"
debosyonal,1.2,1.16619,"[0, 1, 0, 2, 2, 1, 0, 0, 3, 3]"
debosyonal,2.2,0.4,"[2, 2, 2, 3, 2, 3, 2, 2, 2, 2]"
debosyonal,1.2,1.07703,"[3, 1, 1, 0, -1, 2, 2, 2, 1, 1]"
debosyon,1.8,0.74833,"[2, 3, 1, 2, 1, 3, 1, 2, 1, 2]"
diamante,1.4,1.42829,"[0, 0, 2, 0, 1, 3, 1, 3, 0, 4]"
titi,-2.3,1.18743,"[-2, -3, -4, -2, 0, -4, -2, -1, -3, -2]"
dickhead,-3.1,0.53852,"[-4, -3, -3, -3, -4, -2, -3, -3, -3, -3]"
mamatay,-2.9,0.9434,"[-4, -3, -1, -2, -4, -3, -3, -3, -2, -4]"
namatay,-2.6,1.28062,"[-3, -1, -3, -4, -2, -4, -3, -4, -2, 0]"
lisud,-1.5,0.5,"[-2, -2, -1, -1, -2, -1, -1, -2, -1, -2]"
mga kalisdanan,-1.2,0.4,"[-1, -2, -1, -1, -1, -2, -1, -1, -1, -1]"
lisud,-1.7,0.45826,"[-1, -2, -1, -2, -2, -1, -2, -2, -2, -2]"
kalisud,-1.4,0.66332,"[-2, -2, -2, -2, 0, -1, -1, -2, -1, -1]"
diffident,-1,0.44721,"[-1, -1, -1, -1, -1, 0, -2, -1, -1, -1]"
dignidad,2.2,0.6,"[1, 2, 2, 2, 3, 3, 3, 2, 2, 2]"
nagpasidungog sa,2,0.7746,"[1, 3, 2, 2, 3, 3, 2, 2, 1, 1]"
dignidad,1.8,0.74833,"[1, 2, 2, 1, 3, 3, 1, 2, 2, 1]"
pagpasidungog,2.1,1.04403,"[1, 1, 1, 3, 1, 4, 2, 3, 2, 3]"
mga dignitaryo,0.6,0.91652,"[0, 0, 1, 0, 0, 0, 3, 0, 1, 1]"
dignitaryo,1.9,1.3,"[0, 3, 4, 2, 3, 1, 1, 3, 0, 2]"
dignidad,1.4,0.66332,"[1, 2, 1, 1, 3, 2, 1, 1, 1, 1]"
dignidad,1.7,0.9,"[0, 3, 2, 1, 2, 1, 2, 3, 1, 2]"
problema,-0.7,1.48661,"[2, -1, -2, -2, -1, -1, 2, 0, -2, -2]"
dipshit,-2.1,0.7,"[-1, -2, -2, -3, -2, -3, -3, -2, -2, -1]"
grabe,-2,1.26491,"[-2, -3, -3, -2, -3, -1, -1, 1, -3, -3]"
makalilisang,-3.1,0.83066,"[-3, -3, -3, -3, -4, -1, -4, -3, -4, -3]"
hugaw,-1.4,0.91652,"[-1, -1, -1, 0, -3, -1, -1, -2, -3, -1]"
mas hugaw,-1.4,0.4899,"[-2, -1, -1, -2, -1, -2, -1, -1, -2, -1]"
labing hugaw,-2.4,1.0198,"[-4, -3, -2, -1, -2, -3, -1, -2, -4, -2]"
hugaw,-1.9,0.83066,"[-2, -1, -1, -1, -2, -2, -1, -3, -3, -3]"
disable,-2.1,0.53852,"[-2, -1, -3, -3, -2, -2, -2, -2, -2, -2]"
disbentaha,-1.8,0.4,"[-2, -2, -1, -2, -2, -1, -2, -2, -2, -2]"
disadvantaged,-1.7,0.64031,"[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]"
disbentaha,-2.1,0.83066,"[-2, -4, -1, -2, -1, -2, -2, -2, -3, -2]"
disbentaha,-1.6,0.66332,"[-1, -1, -3, -2, -1, -1, -2, -1, -2, -2]"
disbentaha,-1.7,0.64031,"[-2, -2, -3, -1, -2, -2, -2, -1, -1, -1]"
maayo,-1.5,0.67082,"[-3, -2, -1, -1, -1, -2, -1, -2, -1, -1]"
wala mouyon,-1.3,0.64031,"[-1, -2, -1, -1, -2, 0, -1, -2, -1, -2]"
mawala,-0.9,0.7,"[-2, -1, 0, 0, -2, -1, -1, -1, 0, -1]"
nawala,-0.9,0.7,"[-2, 0, -1, -1, 0, 0, -2, -1, -1, -1]"
mawala,-1.4,0.8,"[-2, -2, 0, 0, -2, -1, -2, -1, -2, -2]"
kahigawad,-1.7,0.64031,"[-1, -1, -1, -3, -2, -2, -2, -1, -2, -2]"
nasagmuyo,-2.1,0.83066,"[-1, -3, -2, -2, -3, -1, -1, -2, -3, -3]"
nasagmuyo,-1.7,0.78102,"[-3, -1, -3, -1, -2, -1, -1, -2, -2, -1]"
makapahigawad,-2.2,0.6,"[-1, -2, -2, -3, -3, -2, -2, -2, -3, -2]"
makapahigawad,-1.9,0.7,"[-2, -1, -1, -3, -2, -3, -2, -2, -1, -2]"
kahigawad,-2.3,1.00499,"[-3, -1, -4, -1, -3, -1, -3, -2, -2, -3]"
mga kasagmuyo,-2,1.09545,"[-1, -2, -4, -3, -2, -2, -3, 0, -2, -1]"
makapahigawad,-1.6,0.4899,"[-2, -1, -1, -1, -2, -1, -2, -2, -2, -2]"
katalagman,-3.1,0.83066,"[-2, -4, -4, -3, -3, -2, -4, -3, -2, -4]"
mga katalagman,-2.6,0.8,"[-2, -2, -3, -1, -3, -3, -2, -4, -3, -3]"
makadaot,-2.9,0.53852,"[-2, -2, -3, -3, -3, -3, -4, -3, -3, -3]"
isalikway,-1,0.44721,"[-1, -1, -1, -1, 0, -1, -1, -1, -2, -1]"
gilabay,-1.4,0.91652,"[-1, -1, -1, -1, 0, -1, -2, -3, -3, -1]"
paglabay,-0.7,0.45826,"[-1, 0, -1, -1, -1, 0, -1, 0, -1, -1]"
gilabay,-1,0.63246,"[0, -1, -1, -1, -2, 0, -2, -1, -1, -1]"
idiskonsolasyon,-2.3,0.78102,"[-1, -2, -2, -3, -2, -2, -2, -4, -3, -2]"
pagkawalay paglaum,-1.7,0.45826,"[-2, -2, -1, -2, -1, -1, -2, -2, -2, -2]"
panagsumpaki,-1.7,0.64031,"[-3, -2, -2, -2, -2, -1, -1, -1, -1, -2]"
gidiskwento,0.2,1.249,"[-1, 0, 3, -1, 0, 1, 1, 1, -1, -1]"
pagpaluya,-1.8,0.6,"[-2, -2, -1, -2, -1, -1, -2, -2, -3, -2]"
makapaluya,-1.2,0.9798,"[-1, -2, -1, 1, -1, -1, -1, -2, -3, -1]"
kadasig,-1.7,0.45826,"[-2, -1, -2, -2, -2, -2, -1, -1, -2, -2]"
kadasig,-2,0.89443,"[-4, -1, -2, -2, -1, -1, -3, -2, -2, -2]"
kaluya,-1.8,0.6,"[-2, -2, -2, -1, -1, -3, -2, -1, -2, -2]"
makapaluya,-1.7,0.78102,"[-2, -1, -3, -2, -1, -3, -1, -2, -1, -1]"
makapaluya,-1.9,0.53852,"[-2, -2, -2, -2, -1, -1, -3, -2, -2, -2]"
makapaluya,-1.9,0.53852,"[-2, -1, -2, -2, -2, -2, -1, -3, -2, -2]"
makapaluya,-1.9,0.7,"[-2, -2, -2, -3, -1, -1, -2, -1, -2, -3]"
makapaluya,-1.8,0.87178,"[-2, -1, -3, -1, -1, -3, -2, -1, -3, -1]"
nadiskredito,-1.9,0.53852,"[-2, -2, -2, -2, -1, -3, -1, -2, -2, -2]"
pagtamay,-2.1,0.3,"[-3, -2, -2, -2, -2, -2, -2, -2, -2, -2]"
kaulawan,-2.2,0.74833,"[-2, -4, -1, -2, -2, -2, -2, -3, -2, -2]"
gipakaulawan,-2,0.44721,"[-3, -2, -2, -2, -1, -2, -2, -2, -2, -2]"
pagtakuban,-1,1.09545,"[-2, -1, 0, 0, 0, 0, -3, -2, -2, 0]"
nagtakuban,-1.1,1.04403,"[-3, 0, 0, -1, -1, 0, -3, -1, -1, -1]"
nagtakuban,-1,0.63246,"[-2, 0, 0, -1, -1, -1, -2, -1, -1, -1]"
pagtakuban,-1.3,0.78102,"[0, -2, -1, -1, -1, -2, -1, -1, -3, -1]"
kasuko,-2.9,0.7,"[-3, -3, -4, -2, -3, -3, -4, -2, -3, -2]"
nasuko,-2.4,0.91652,"[-4, -3, -3, -1, -3, -1, -2, -2, -2, -3]"
makaluod,-3,0.89443,"[-2, -3, -4, -4, -2, -4, -4, -2, -3, -2]"
salawayon,-2.6,0.4899,"[-3, -3, -2, -2, -2, -2, -3, -3, -3, -3]"
dulumtanan,-2.4,1.11355,"[-3, -2, -3, -4, -1, -3, -1, -4, -1, -2]"
makaluod,-2.9,0.7,"[-3, -3, -4, -3, -3, -2, -2, -4, -2, -3]"
kasuko,-2.1,0.53852,"[-2, -2, -3, -2, -2, -2, -2, -3, -1, -2]"
maluya,-2,0.63246,"[-3, -1, -2, -3, -2, -2, -1, -2, -2, -2]"
naluya,-2.2,0.74833,"[-2, -2, -2, -1, -2, -2, -4, -3, -2, -2]"
makapaluya,-1.8,1.32665,"[-2, -2, -2, -3, -2, 2, -2, -2, -3, -2]"
makapaluya,-2,0.63246,"[-2, -3, -2, -1, -2, -2, -2, -3, -2, -1]"
kasubo,-2.3,0.45826,"[-3, -2, -3, -2, -2, -2, -2, -3, -2, -2]"
kasubo,-2.2,0.87178,"[-2, -3, -3, -3, -3, -1, -1, -1, -2, -3]"
makapaluya,-2.2,0.4,"[-3, -2, -2, -2, -3, -2, -2, -2, -2, -2]"
kahigawad,-1,1.18322,"[-2, 0, -2, -1, -2, 1, -2, -1, 1, -2]"
nadismaya,-1.9,0.7,"[-2, -2, -3, -2, -3, -1, -1, -1, -2, -2]"
pagkadismaya,-1.3,1.00499,"[-2, -2, 1, -2, 0, -2, -2, -1, -1, -2]"
kapakyasan,-1.7,0.78102,"[-1, -3, -2, -3, -1, -2, -2, -1, -1, -1]"
kapakyasan,-1.5,1.0247,"[-2, 1, -3, -2, -1, -1, -2, -1, -2, -2]"
kapakyasan,-1.6,0.4899,"[-2, -2, -2, -1, -1, -1, -2, -2, -1, -2]"
gibulag,-1.3,0.45826,"[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]"
makaluluoy,-3,1,"[-2, -1, -4, -4, -3, -2, -3, -4, -4, -3]"
kaguol,-1.8,0.87178,"[-3, -1, -1, -3, -1, -1, -3, -1, -2, -2]"
nadismaya,-1.9,0.9434,"[-1, -2, -1, -3, -4, -1, -2, -2, -1, -2]"
makapaguol,-2.2,0.9798,"[-2, -3, -2, -3, -3, 0, -2, -1, -3, -3]"
makaguol,-1.9,0.83066,"[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]"
kalibog,-1.8,1.07703,"[-1, -1, -4, -3, -2, -1, -2, 0, -2, -2]"
kaguliyang,-1.7,0.64031,"[-2, -1, -1, -2, -2, -1, -3, -1, -2, -2]"
disoriented,-1.5,0.67082,"[-2, -2, -1, 0, -1, -2, -2, -1, -2, -2]"
pagdaot,-2,0.44721,"[-2, -2, -2, -1, -2, -2, -2, -3, -2, -2]"
gipakaubos,-1.4,0.8,"[-1, -2, -2, -3, -1, -1, -1, -2, 0, -1]"
pagdaot,-1.6,0.8,"[-1, -2, -3, -2, -1, -1, -2, -2, 0, -2]"
pagtamay,-2.2,0.6,"[-3, -1, -2, -2, -2, -3, -3, -2, -2, -2]"
wala mahimuot,-1.9,0.7,"[-3, -2, -1, -1, -3, -2, -2, -1, -2, -2]"
panaglalis,-1.7,0.78102,"[-1, -3, -1, -1, -2, -1, -2, -2, -3, -1]"
gilalisan,-1.4,0.66332,"[-2, -2, -2, -2, 0, -1, -1, -1, -1, -2]"
mga panaglalis,-1.1,1.64012,"[-2, -2, -2, 2, -3, -1, -2, 2, -1, -2]"
panaglalis,-1.7,0.64031,"[-2, -2, -2, -2, -1, -1, -3, -1, -1, -2]"
disqualify,-1.8,0.6,"[-1, -2, -1, -2, -1, -2, -2, -3, -2, -2]"
kasamok,-1.3,0.9,"[-1, -2, -2, -1, -1, -1, 1, -2, -2, -2]"
walay pagtagad,-1.1,0.53852,"[-1, -1, -2, -1, -1, -2, -1, -1, 0, -1]"
wala tagda,-1.6,0.4899,"[-1, -1, -2, -2, -2, -2, -1, -2, -1, -2]"
walay pagtagad sa,-0.9,0.53852,"[-1, 0, -1, 0, -2, -1, -1, -1, -1, -1]"
walay pagtagad,-1.4,0.4899,"[-1, -1, -2, -1, -2, -2, -2, -1, -1, -1]"
walay pagtahod,-1.8,0.6,"[-2, -2, -2, -1, -2, -2, -1, -3, -1, -2]"
walay pagtahod,-2,0.63246,"[-2, -2, -2, -2, -2, -3, -3, -1, -1, -2]"
pagkabalda,-1.5,0.67082,"[-1, -1, -1, -2, -1, -3, -2, -2, -1, -1]"
mga pagkabalda,-1.4,0.4899,"[-1, -2, -1, -1, -1, -2, -2, -2, -1, -1]"
makabalda,-1.3,1.00499,"[-4, 0, -1, -1, -1, -1, -1, -1, -2, -1]"
pagkadiskontento,-2.2,0.74833,"[-4, -2, -2, -2, -1, -3, -2, -2, -2, -2]"
wala matagbaw,-1.6,0.66332,"[-2, -3, -1, -2, -1, -1, -2, -2, -1, -1]"
pagtuis,-1.3,0.45826,"[-2, -1, -1, -1, -2, -1, -1, -1, -1, -2]"
gituis,-1.7,0.78102,"[-3, -1, -3, -1, -2, -1, -2, -2, -1, -1]"
pagtuis,-1.1,0.53852,"[0, -1, -1, -1, -2, -1, -1, -1, -2, -1]"
pagtuis,-1.4,0.4899,"[-2, -1, -1, -1, -2, -2, -2, -1, -1, -1]"
makabalda,-1.2,0.6,"[-1, -1, 0, -2, -1, -1, -1, -2, -1, -2]"
makabalda,-1.3,1.00499,"[-2, 0, 1, -2, -2, -1, -1, -2, -2, -2]"
nabalda,-1.4,0.66332,"[-1, -3, -1, -2, -2, -1, -1, -1, -1, -1]"
nabalda,-0.9,0.7,"[-1, -1, 0, -2, -1, 0, -1, 0, -1, -2]"
pagkalinga,-1.3,1.1,"[-1, -1, -3, -1, 0, -3, -2, 0, -2, 0]"
makabalda,-1.5,0.92195,"[-1, -2, -1, -1, -4, -1, -1, -1, -2, -1]"
makabalda,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -2, -1, -1, -1]"
makabalda,-1.4,1.0198,"[-4, 0, -1, -1, -1, -2, -1, -1, -2, -1]"
makabalda,-1.6,0.66332,"[-1, -2, -2, -1, -1, -3, -1, -1, -2, -2]"
makabalda,-1,0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]"
makabalda,-1.6,0.4899,"[-2, -2, -1, -1, -1, -1, -2, -2, -2, -2]"
makabalda,-1.3,0.45826,"[-1, -1, -2, -1, -1, -2, -1, -2, -1, -1]"
nalibog,-2.6,0.8,"[-2, -3, -2, -3, -4, -2, -3, -3, -1, -3]"
kagul-anan,-2.4,0.8,"[-1, -2, -2, -3, -3, -4, -3, -2, -2, -2]"
naguol,-1.8,0.6,"[-2, -2, -2, -3, -2, -2, -1, -1, -2, -1]"
kagul-anan,-1.6,0.66332,"[-2, -1, -1, -2, -2, -2, -1, -1, -3, -1]"
makapaguol,-2.2,0.6,"[-1, -3, -3, -2, -2, -3, -2, -2, -2, -2]"
makapaguol,-1.7,1.1,"[-1, -3, -2, 1, -3, -1, -2, -2, -2, -2]"
kaguol,-2.4,0.66332,"[-2, -3, -2, -3, -3, -3, -2, -1, -3, -2]"
makapaguol,-1.7,1.18743,"[-3, -3, -1, -1, -2, -2, -3, -2, 1, -1]"
makapaguol,-2.2,0.74833,"[-3, -1, -2, -3, -3, -3, -2, -2, -2, -1]"
walay pagsalig,-1.8,0.87178,"[-1, -2, -2, -2, -1, -1, -2, -4, -1, -2]"
walay pagsalig,-2.4,0.66332,"[-1, -3, -3, -3, -2, -2, -3, -2, -2, -3]"
walay pagsalig,-2.1,0.83066,"[-1, -3, -2, -2, -3, -1, -1, -3, -2, -3]"
walay pagsalig,-1.8,0.6,"[-2, -1, -1, -2, -1, -2, -3, -2, -2, -2]"
kawalay pagsalig,-1.6,0.66332,"[-2, -1, -2, -1, -2, -1, -1, -3, -1, -2]"
walay pagsalig,-2.1,0.83066,"[-1, -2, -2, -2, -3, -3, -1, -3, -1, -3]"
walay pagsalig,-1.3,0.45826,"[-1, -1, -2, -1, -2, -1, -2, -1, -1, -1]"
disturb,-1.7,0.45826,"[-2, -1, -1, -2, -2, -2, -1, -2, -2, -2]"
kasamok,-1.6,0.8,"[-1, -2, -1, -2, -2, -3, -1, -2, 0, -2]"
mga kasamok,-1.4,0.66332,"[-1, -1, -1, -2, -1, -1, -1, -1, -3, -2]"
nabalda,-1.6,0.4899,"[-2, -2, -1, -1, -2, -2, -1, -2, -1, -2]"
tigsamok,-1.4,0.4899,"[-2, -1, -1, -2, -2, -1, -1, -2, -1, -1]"
mga tigsamok,-2.1,0.53852,"[-2, -2, -2, -2, -2, -3, -3, -2, -1, -2]"
makatugaw,-2.3,0.45826,"[-2, -2, -3, -3, -2, -2, -3, -2, -2, -2]"
makatugaw,-2.3,0.78102,"[-2, -2, -1, -3, -4, -3, -2, -2, -2, -2]"
makadisturbo,-1.9,0.53852,"[-2, -2, -1, -2, -3, -2, -1, -2, -2, -2]"
dithering,-0.5,0.92195,"[0, 0, 0, 0, 1, -1, -2, -2, -1, 0]"
pagpanag-an,1.7,1.1,"[2, 3, 0, 1, 2, 1, 3, 3, 2, 0]"
pagpanag-an,1.1,1.04403,"[1, 0, 1, 2, 2, 0, 3, 2, 0, 0]"
pagpanag-an,1.6,1.42829,"[4, 1, 0, 0, 1, 3, 3, 0, 1, 3]"
diosnon,2.6,0.8,"[3, 3, 3, 2, 1, 2, 3, 4, 2, 3]"
gitagna,0.8,1.16619,"[1, 0, 3, 0, 0, 1, 0, 3, 0, 0]"
balaanon,2.9,0.7,"[3, 2, 3, 3, 2, 4, 3, 2, 4, 3]"
mananag-an,0.3,0.9,"[0, 0, 3, 0, 0, 0, 0, 0, 0, 0]"
mananag-an,1.2,1.16619,"[0, 1, 0, 2, 2, 0, 3, 1, 3, 0]"
balaan,0.8,1.249,"[0, 0, 3, 0, 0, 0, 3, 2, 0, 0]"
balaan,2.7,0.78102,"[3, 4, 2, 4, 2, 2, 2, 3, 2, 3]"
diving,0.3,0.45826,"[1, 0, 0, 0, 0, 1, 0, 1, 0, 0]"
pagpanag-an,0.9,1.37477,"[0, -1, 2, 0, 1, 0, 2, 4, 1, 0]"
pag-divinise,0.5,1.36015,"[0, 2, 0, 0, 0, 0, 0, -2, 2, 3]"
pagkabalaan,1.8,1.46969,"[1, 3, 3, 4, 0, 0, 1, 0, 3, 3]"
pagkadiosnon,2.7,1.00499,"[4, 4, 2, 3, 3, 1, 2, 4, 2, 2]"
balaanon,2.3,1.00499,"[4, 2, 2, 3, 4, 1, 1, 2, 2, 2]"
makalipong,-0.9,0.3,"[-1, -1, -1, -1, -1, -1, -1, -1, 0, -1]"
paglikay,-0.4,0.8,"[-1, -1, 0, 1, 0, -1, 0, 0, -2, 0]"
mahalon,-2.2,0.6,"[-2, -2, -2, -3, -3, -3, -2, -2, -1, -2]"
dominasyon,0.8,0.87178,"[2, 0, 0, 2, 1, 0, 0, 1, 2, 0]"
dominasyon,-0.1,0.9434,"[-1, 0, 1, 1, 0, -1, 0, 1, 0, -2]"
dominante,0.2,1.16619,"[-2, 0, 0, -1, 2, 1, 2, 0, 0, 0]"
dominante,0.2,1.16619,"[0, 2, -1, 0, -1, -1, -1, 1, 1, 2]"
modominar,-0.5,0.92195,"[0, -1, 1, -1, 1, -1, -2, 0, -1, -1]"
nagdominar sa,0.2,1.249,"[1, 0, -2, -1, 1, -1, 2, 0, 0, 2]"
nagdominar,-1.2,1.98997,"[-4, -1, -4, -1, -3, -1, -1, 2, 2, -1]"
dominasyon,-0.2,0.9798,"[0, 1, 0, -1, -1, -1, 0, 2, -1, -1]"
dominasyon,-0.3,0.45826,"[0, 0, 0, 0, 0, -1, 0, -1, -1, 0]"
dominative,-0.7,1.18743,"[-1, -1, -2, -2, -1, -1, -1, 2, 1, -1]"
dominador,-0.4,1.8,"[-1, -2, -2, -2, 0, 2, 2, -3, 2, 0]"
dominatrices,-0.2,1.6,"[-3, 0, 2, 0, -2, -2, 0, 1, 2, 0]"
dominatrix,-0.5,0.92195,"[0, 0, -1, 0, 0, 1, 0, -1, -2, -2]"
dominatrixes,0.6,1.35647,"[0, 4, 0, -1, 0, 2, 1, 0, 0, 0]"
kalaglagan,-1.7,1.26886,"[-2, -1, -1, -4, -2, -2, 1, -3, -1, -2]"
nalaglag,-3.2,0.74833,"[-3, -3, -4, -4, -4, -2, -4, -3, -3, -2]"
malaglagon,-2.1,0.7,"[-3, -2, -3, -1, -2, -3, -2, -1, -2, -2]"
kalaglagan,-2.8,0.4,"[-2, -3, -2, -3, -3, -3, -3, -3, -3, -3]"
kalaglagan,-1.1,1.57797,"[1, -3, -1, -3, -2, -1, -3, 1, 1, -1]"
doomsayer,-0.7,1.41774,"[2, -1, -2, -1, 1, -2, -2, -1, 1, -2]"
mga doomsayers,-1.7,0.78102,"[-1, -2, -3, 0, -2, -2, -2, -1, -2, -2]"
kalaglagan,-1.5,1.28452,"[-3, -2, -2, 0, 1, 0, -3, -2, -2, -2]"
kalaglagan,-1.5,0.92195,"[-2, -1, -1, -2, -2, 0, 0, -2, -3, -2]"
adlaw sa kalaglagan,-2.8,1.249,"[-3, -1, -3, -4, -3, -4, 0, -4, -3, -3]"
kalaglagan,-2.2,1.249,"[-3, -1, -4, -3, -4, -3, -1, -1, -1, -1]"
mga adlaw sa kalaglagan,-2.4,1.85472,"[-3, -2, -4, 1, -4, -3, -2, -4, 1, -4]"
doomster,-2.2,0.87178,"[-2, -1, -2, -3, -1, -3, -1, -3, -3, -3]"
mga doomsters,-1.6,0.8,"[-3, -1, -2, -2, 0, -2, -2, -1, -1, -2]"
kalaglagan,-1.1,1.37477,"[2, -2, -1, -2, -2, -2, -2, 1, -1, -2]"
dork,-1.4,0.66332,"[-1, -2, -2, -1, -1, -1, -3, -1, -1, -1]"
dorkier,-1.1,0.53852,"[-1, -1, -1, -1, -2, 0, -1, -2, -1, -1]"
kinatas-an,-1.2,0.74833,"[-1, -2, -1, -3, -1, 0, -1, -1, -1, -1]"
dorks,-0.5,0.67082,"[-1, 1, -1, -1, -1, -1, 0, 0, -1, 0]"
dorky,-1.1,1.04403,"[-1, 0, -1, 1, -1, -1, -3, -2, -2, -1]"
pagduhaduha,-1.5,0.5,"[-1, -1, -2, -2, -1, -1, -2, -1, -2, -2]"
kadudahan,-1.5,0.5,"[-1, -1, -2, -1, -2, -1, -2, -2, -1, -2]"
nagduhaduha,-1.1,1.22066,"[-1, -2, -2, 2, -1, -1, -2, -2, -2, 0]"
nagduhaduha,-1.6,0.91652,"[-1, -3, -2, -1, -1, -1, -2, -2, -3, 0]"
nagduhaduha,-1.3,0.45826,"[-1, -1, -1, -1, -1, -2, -1, -2, -2, -1]"
kaduhaduhaan,-1.4,0.4899,"[-1, -1, -2, -1, -2, -2, -1, -1, -2, -1]"
kaduhaduhaan,-1.2,0.4,"[-1, -1, -1, -1, -1, -1, -2, -1, -1, -2]"
pagduhaduha,-1.2,0.4,"[-2, -1, -1, -1, -1, -1, -1, -1, -1, -2]"
nagduhaduha,-1.4,0.4899,"[-1, -1, -1, -2, -2, -1, -1, -1, -2, -2]"
nagduhaduha,-1.4,0.4899,"[-2, -2, -1, -1, -1, -1, -1, -2, -2, -1]"
walay duhaduha,0.9,1.51327,"[2, 2, 1, 2, -2, 2, -2, 1, 1, 2]"
walay duhaduha,1.2,0.9798,"[2, 1, 1, 2, 0, -1, 2, 1, 2, 2]"
walay pagduhaduha,0.8,0.9798,"[2, 1, 2, 0, 0, 0, 2, -1, 1, 1]"
pagduhaduha,-1.2,0.6,"[-2, -1, -1, -1, -2, -2, -1, 0, -1, -1]"
douche,-1.5,1.68819,"[-3, -2, -3, 1, 1, -2, -3, -2, 1, -3]"
douchebag,-3,0.44721,"[-3, -3, -3, -3, -3, -3, -2, -3, -4, -3]"
gipaubos,-1.8,0.74833,"[-1, -1, -1, -2, -2, -2, -1, -3, -3, -2]"
naguol,-2.3,0.78102,"[-1, -2, -2, -4, -2, -2, -2, -3, -3, -2]"
ubos nga bahin,-1,0.7746,"[-1, -1, -1, -1, -1, -1, -2, 1, -2, -1]"
drag,-0.9,0.83066,"[-1, -2, -1, -1, -2, -1, -1, 1, 0, -1]"
giguyod,-0.2,1.07703,"[-2, -1, 0, 0, -1, 0, 0, 1, 2, -1]"
drag,-0.7,0.64031,"[0, -1, 0, -1, -1, -2, -1, 0, 0, -1]"
nahubas,-1.5,0.5,"[-1, -1, -2, -2, -1, -2, -1, -2, -1, -2]"
kahadlok,-2,0.63246,"[-2, -3, -2, -2, -2, -2, -3, -1, -1, -2]"
